"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","건물소유구분명","급수시설구분명","년도","다중이용업소여부","시설총규모","위생업종명","위생업태명","총종업원수","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명"
"1235","프레쉬볼(Fresh Bowl)","인천광역시 미추홀구 문학동 482번지 문학경기장 ","인천광역시 미추홀구 매소홀로 618, 문학경기장 야구장 7번게이트 앞 (문학동)","20180629","운영중","","","","","10.00","","","","2018","N","10","휴게음식점","푸드트럭","","","","","3510500-104-2018-00085","영업"
"1236","불스초이스","부산광역시 동래구 사직동 930번지 ","부산광역시 동래구 사직로 45 (사직동, 야구장 뒤편 조각광장 주변)","20170823","운영중","","","","","4.50","607861","","","2017","N","4.5","휴게음식점","푸드트럭","","","387901.39287200000  ","190682.93409200000  ","3300000-104-2017-00094","영업"
"1237","chapchaf(찹찹)","부산광역시 동래구 사직동 930번지 ","부산광역시 동래구 사직로 45 (사직동, 야구장 뒤편 조각광장 주변)","20170823","운영중","","","","","4.50","607861","","","2017","N","4.5","휴게음식점","푸드트럭","","","387901.39287200000  ","190682.93409200000  ","3300000-104-2017-00096","영업"
"1238","차군식당","서울특별시 서초구 반포동 115-5번지 ","서울특별시 서초구 신반포로11길 40 (반포동, 달빛공원)","20170515","운영중","","","","","10.00","137040","","","2017","N","10","휴게음식점","푸드트럭","","","199357.32032600000  ","445358.07046700000  ","3210000-104-2017-00217","영업"
"1239","별담은달그릇","서울특별시 중랑구 묵동 378번지 ","서울특별시 중랑구 중랑천로 332 (묵동, 중랑천)","20170426","운영중","","","","","10.00","131854","","","2017","N","10","휴게음식점","푸드트럭","","","206520.78360700000  ","457249.18030000000  ","3060000-104-2017-00043","영업"
"1240","Army on the road(아미온더로드)","광주광역시 동구 학동 55번지 남광주밤기차야시장 ","광주광역시 동구 제봉로 7 (학동)","20170504","운영중","","","","","9.20","501841","","","2017","N","9.2","휴게음식점","푸드트럭","","","192879.95156400000  ","182511.65180800000  ","3590000-104-2017-00041","영업"
"1241","지니왕타코","광주광역시 동구 학동 55번지 남광주야시장 ","광주광역시 동구 제봉로 7 (학동, 남광주야시장)","20170502","운영중","","","","","13.20","501841","","","2017","N","13.2","휴게음식점","푸드트럭","","","192879.95156400000  ","182511.65180800000  ","3590000-104-2017-00036","영업"
"1242","엉클괌","광주광역시 동구 광산동 국립아시아문화전당 야외공간(ACC5월야외행사) ","","20170502","운영중","","","","","9.20","501180","","","2017","N","9.2","휴게음식점","푸드트럭","","","","","3590000-104-2017-00038","영업"
"1243","JOE'S BAR(조스바)","광주광역시 동구 광산동 국립아시아문화전당 야외공간(ACC5월야외행사) ","","20170502","운영중","","","","","8.57","501180","","","2017","N","8.57","휴게음식점","푸드트럭","","","","","3590000-104-2017-00039","영업"
"1244","바깥부엌","서울특별시 종로구 서린동 43-3번지 청계천로 보행전용도로 ","","20170518","운영중","","","","","9.00","110110","","","2017","N","9","휴게음식점","푸드트럭","","","198332.884663       ","451862.244367       ","3000000-104-2017-00114","영업"
"1245","홀릭핫도그","울산광역시 남구 옥동 146-1번지 ","울산광역시 남구 대공원로 94 (옥동, 울산대공원 SK광장)","20170518","운영중","","","","","","680843","","","2017","N","0","휴게음식점","푸드트럭","","","408064.17985100000  ","228481.45271300000  ","3700000-104-2017-00121","영업"
"1246","Rollick food(롤릭푸드)","서울특별시 은평구 녹번동 5-29번지 서울혁신센터 ","서울특별시 은평구 통일로 684 (녹번동, 서울혁신센터)","20170512","운영중","","","","","10.00","122824","","","2017","N","10","휴게음식점","푸드트럭","","","194290.10277500000  ","456660.65029200000  ","3110000-104-2017-00090","영업"
"1247","깽스터커피","경기도 용인시 처인구 삼가동 556번지 용인시청광장 내 ","경기도 용인시 처인구 중부대로 1199 (삼가동, 용인시청광장 내)","20170502","운영중","","","","","10.00","449704","","상수도전용","2017","N","10","휴게음식점","푸드트럭","","","215899.54290500000  ","415787.29453100000  ","5620000-104-2017-00056","영업"
