NUM,가게명,x,y,주소
186,노마드1987,399733.3205,262794.3993,경상북도 경주시 노동동 230번지 
187,불타는소고기,414002.6468,285144.6013,경상북도 포항시 남구 송도동 254-100번지 송림테마거리일원 
188,잇푸드,328525.6436,319676.3833,경상북도 의성군 안계면 용기리 620-5번지 
189,닭판다,328525.6436,319676.3833,경상북도 의성군 안계면 용기리 620-5번지 
190,주전부리,328525.6436,319676.3833,경상북도 의성군 안계면 용기리 620-5번지 
191,풍류인더트럭,328525.6436,319676.3833,경상북도 의성군 안계면 용기리 620-5번지 
192,와일드브로(98노2086호),318398.8874,293663.396,경상북도 구미시 도량동 472-4번지 선기졸음쉼터 (부산방향) 
193,케미디아(98노2083호),318566.9919,293673.8711,경상북도 구미시 도량동 333-2번지 선기졸음쉼터 (서울방향) 
194,동네방네,417353.9526,290434.4395,경상북도 포항시 북구 흥해읍 죽천리 산 55번지 포항대학교 학교주차장 
195,행복상자,414002.6468,285144.6013,경상북도 포항시 남구 송도동 254-100번지 송림테마거리일원 
196,한량토스트(푸드트럭:82너9105),316202.2762,295784.4754,경상북도 구미시 부곡동 407번지 구미대학교 
197,미스터셰프,361633.8953,255561.6662,경상북도 경산시 여천동 240-3번지 
198,미스터셰프,360451.2603,256635.7493,경상북도 경산시 유곡동 290-1번지 
199,춤추는 소연이네(푸드트럭),416923.9107,327589.0735,경상북도 영덕군 영덕읍 창포리 328-1번지 
200,문꼬리 푸드(푸드트럭),419113.5183,336686.0522,경상북도 영덕군 축산면 축산리 944-7번지 
201,스테이크아웃,413043.1811,281572.216,경상북도 포항시 남구 대도동 313-1번지 포항종합공설운동장(84라6989) 
202,포옹,416111.3852,274387.7189,경상북도 포항시 남구 오천읍 문덕리 1030-6번지 포항운전면허시험장 
203,아띠푸드트럭,350516.4553,317994.3455,경상북도 의성군 의성읍 원당리 208-1번지 
204,에스포와,357587.0897,259600.0029,경상북도 경산시 상방동 10번지 경산생활체육공원일원 
205,해맞이 타오,417954.7533,326820.1435,경상북도 영덕군 영덕읍 창포리 113-1번지 
206,슈가립스(Sugar Lips),362343.1986,257170.5347,경상북도 경산시 남산면 인흥리 250번지 
207,카페 은경이랑 은하랑(푸드트럭),419113.5183,336686.0522,경상북도 영덕군 축산면 축산리 944-7번지 
208,앤투비대구대점,367784.9481,269415.8555,경상북도 경산시 진량읍 내리리 15번지 조형예술대학 5호관 앞 
209,악당트럭,406726.4508,262533.9658,경상북도 경주시 신평동 150-19번지 
210,푸드갱스터,413043.1811,281572.216,경상북도 포항시 남구 대도동 313-1번지 포항종합공설운동장 일대 
211,피자박스,413043.1811,281572.216,경상북도 포항시 남구 대도동 313-1번지 포항종합공설운동장 
212,미스터키친,411142.6758,280363.2951,경상북도 포항시 남구 연일읍 생지리 459-3번지 포항시 남구 형산강변(연일대교 하단 일원) 
213,토앤코,326233.0382,280668.7013,경상북도 칠곡군 석적읍 중지리 552번지 칠곡보생태공원 
214,금오랜드푸드트럭,318451.3043,291418.4818,경상북도 구미시 남통동 253번지 80라7858 
215,일광맛미,352748.7325,318959.7168,경상북도 의성군 의성읍 중리리 516번지 의성실내체육관 일원 
216,시카고그릴링,352748.7325,318959.7168,경상북도 의성군 의성읍 중리리 516번지 의성종합운동장 
217,오빠에 꼬치닭,357587.0897,259600.0029,"경상북도 경산시 상방동 10번지 경산생활체육공원 내(푸드트럭, 92버8358) "
218,슈가립스(Sugar Lips),362343.1986,257170.5347,경상북도 경산시 남산면 인흥리 250번지 
219,다알리또,362740.2663,269679.4654,경상북도 경산시 하양읍 부호리 33번지 
220,카파도키아(푸드트럭:84구4917),329808.3871,294719.9292,경상북도 구미시 산동면 봉산리 567-1번지 구미코 2층 전시장 
221,슈가컴퍼니,357587.0897,259600.0029,경상북도 경산시 상방동 10번지 경상생활체육공원 일원 
222,스타트럭 타코야끼,406726.4508,262533.9658,
223,원식당,406726.4508,262533.9658,
224,더 트래블 트럭,406726.4508,262533.9658,
225,베테랑,406726.4508,262533.9658,
226,곱창앤야끼,406726.4508,262533.9658,
227,카페푸드조앤하,,,전라남도 순천시 석현동 549-1번지 하천부지 동천수변공원 
228,고흥푸드트럭 1호점,227543.2628,124483.3074,전라남도 고흥군 고흥읍 호형리 914번지 
229,길카페,146184.9365,163858.6957,전라남도 무안군 청계면 서호리 930-1번지 무안골프장 
230,추억의 도너츠,176163.9171,90898.60688,전라남도 완도군 완도읍 가용리 50-85번지 
231,별난 왕꽈배기,156884.5579,151415.4528,전라남도 무안군 일로읍 복룡리 153-1번지 회산백련지 느티나무길 
232,푸드카 마을,207834.0817,135260.4362,전라남도 보성군 보성읍 봉산리 1265번지 
233,쿡 스토리,176798.0253,91773.51884,전라남도 완도군 완도읍 가용리 1100번지 
234,길카페,146184.9365,163858.6957,전라남도 무안군 청계면 서호리 930-1번지 
235,지에꼬의 문어빵,191059.8558,130686.8535,전라남도 장흥군 장흥읍 예양리 197-1번지 
236,츄로스토리안동점,264895.9028,173986.3827,전라남도 광양시 다압면 신원리 1625-1번지 
237,푸드캠프,264895.9028,173986.3827,전라남도 광양시 다압면 신원리 1625-1번지 
238,하노이포,264895.9028,173986.3827,전라남도 광양시 다압면 신원리 1625-1번지 
239,그양반네,264895.9028,173986.3827,
240,집나온형제,264895.9028,173986.3827,
241,알앤컵,264895.9028,173986.3827,
242,헌터스위크,264895.9028,173986.3827,
243,Joes bar,264895.9028,173986.3827,
244,셰프의 포스,176798.0253,91773.51884,전라남도 완도군 완도읍 가용리 1100번지 
245,셰프의 밥,176798.0253,91773.51884,전라남도 완도군 완도읍 가용리 1100번지 
246,로사F&A 1호,176798.0253,91773.51884,전라남도 완도군 완도읍 가용리 1100번지 
247,로사F&A 2호,176798.0253,91773.51884,전라남도 완도군 완도읍 가용리 1100번지 
248,카페소나,176798.0253,91773.51884,전라남도 완도군 완도읍 가용리 1100번지 
249,꽈베기,156884.5579,151415.4528,전라남도 무안군 일로읍 복룡리 153-1번지 회산백련지 느티나무길 
250,라이더 로드카페,182364.6021,92235.33965,전라남도 완도군 신지면 신리 797-10번지 
251,생닭꼬치,207834.0817,135260.4362,전라남도 보성군 보성읍 봉산리 1265번지 
252,길카페,207834.0817,135260.4362,전라남도 보성군 보성읍 봉산리 1265번지 
253,푸드카 마을 1호,176798.0253,91773.51884,전라남도 완도군 완도읍 가용리 1100번지 
254,푸드카 마을 3호,176798.0253,91773.51884,전라남도 완도군 완도읍 가용리 1100번지 
255,푸드카 마을 2호,176798.0253,91773.51884,전라남도 완도군 완도읍 가용리 1100번지 
256,푸드카 마을 4호,176798.0253,91773.51884,전라남도 완도군 완도읍 가용리 1100번지 
257,Lazzy coffee,191398.0818,76211.61933,전라남도 완도군 청산면 신흥리 산 54-2번지 
258,스넥카,191398.0818,76211.61933,전라남도 완도군 청산면 신흥리 산 54-2번지 
259,The계수작,156884.5579,151415.4528,전라남도 무안군 일로읍 복룡리 153-1번지 회산백련지 느티나무길 
260,길 카페,156884.5579,151415.4528,전라남도 무안군 일로읍 복룡리 153-1번지 회산백련지 느티나무길 
261,"인영,선미",156884.5579,151415.4528,전라남도 무안군 일로읍 복룡리 153-1번지 회산백련지 느티나무길 
262,벚꽃소풍시즌2,268175.7144,138781.371,전라남도 여수시 수정동 440번지 
263,지에꼬의문어빵,191059.8558,130686.8535,전라남도 장흥군 장흥읍 예양리 197-1번지 
264,사과향가득한,227901,197806,전라남도 곡성군 오곡면 오지리 720-16번지 
265,천지웰비푸드,227901,197806,전라남도 곡성군 오곡면 오지리 720-16번지 
266,이상한트럭,227901,197806,전라남도 곡성군 오곡면 오지리 720-16번지 
267,낭만새참(엄청맛있는닭꼬치),227901,197806,전라남도 곡성군 오곡면 오지리 720-16번지 
268,증도미자네 매점,121028.7307,166144.1563,전라남도 신안군 증도면 대초리 1609-6번지 
269,길카페,,,전라남도 광양시 다압면 도사리 97-1번지 (광양매화축제장내) 
270,꼬치와도그에꽂히다,,,전라남도 광양시 다압면 도사리 97-1번지 (광양매화축제장내) 
271,크림달구지,,,전라남도 광양시 다압면 도사리 97-1번지 (광양매화축제장내) 
272,푸드카페,266169.4788,140474.3431,전라남도 여수시 오림동 104번지 
273,카유스테이키,192500.434,165197.0736,"전라남도 화순군 도곡면 효산리 64번지 일원, 2018 화순 고인돌문화축제 현장 "
274,푸드카마을,,,전라남도 광양시 다압면 도사리 97-1번지 (광양매화축제장내) 
275,벚꽃소풍시즌2,268175.7144,138781.371,전라남도 여수시 수정동 440번지 
276,벚꽃소풍 시즌2,268175.7144,138781.371,전라남도 여수시 수정동 440번지 
277,엔젤리너스광주흑석점,227627.8183,198601.8197,전라남도 곡성군 곡성읍 읍내리 53-6번지 
278,라이더로드커피,193783.8811,130724.2166,전라남도 장흥군 장흥읍 우산리 4-2번지 
279,보성명량다원,207834.0817,135260.4362,전라남도 보성군 보성읍 봉산리 1265번지 
280,문덕골농원,207834.0817,135260.4362,전라남도 보성군 보성읍 봉산리 1265번지 
