EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
KIMJANG	1	20151024	1168000000	서울특별시	강남구	2655.742598	1362.16557	1293.577028	148.753154	148.599469	128.954959	108.198494	24.684462	89.910024	144.468065	97.467691	111.217945	121.957788	76.12361	72.281495	7.752033	55.638354	26.158027	148.753154	142.660011	104.790312	84.684747	16.575338	74.243233	85.742459	141.936789	121.261687	75.445589	57.609133	33.878419	21.891019	98.444041	85.661097
KIMJANG	1	20151024	1135000000	서울특별시	노원구	2685.224993	1461.979909	1223.245084	145.425544	137.231032	127.216673	85.391387	38.961367	127.749109	166.77703	67.964531	125.658884	122.071185	82.034549	78.998004	19.889369	59.975922	76.635323	145.425544	141.473876	102.102783	49.088037	18.901452	77.334145	80.776255	85.840629	121.249654	80.713859	34.448146	13.244327	63.158055	106.314429	103.173893
KIMJANG	1	20151024	1150000000	서울특별시	강서구	2570.217254	1349.000562	1221.216692	146.617604	140.610576	137.107392	107.193052	31.363934	93.696457	175.807148	87.469794	137.612553	51.680207	46.002632	29.584887	56.446295	49.725452	58.082579	146.617604	135.97627	130.726984	56.753784	15.934547	146.859204	115.517233	122.864037	82.780579	40.676474	42.861846	4.601361	3.34944	95.585321	80.112008
KIMJANG	1	20151024	1114000000	서울특별시	중구	2637.619698	1533.956724	1103.662974	138.863498	137.334085	128.081676	101.051194	61.514233	21.7249	95.928564	128.924842	181.597403	160.63034	138.264026	87.934396	36.574311	81.179668	34.353588	138.863498	137.800502	105.737056	74.335272	20.100757	56.001113	45.967729	95.397065	88.064558	61.207627	96.329899	24.263075	29.667726	65.4842	64.442897
KIMJANG	1	20151024	1165000000	서울특별시	서초구	2606.56684	1290.426037	1316.140803	146.64558	137.015167	111.778916	130.30634	38.354532	67.592033	139.958394	75.286745	76.633319	152.678716	60.955344	62.001344	6.97213	46.854784	37.392693	146.64558	142.245166	112.860985	92.337746	34.685116	46.864403	125.446649	115.4315	166.048277	83.786997	73.711734	11.023877	4.206843	81.505034	79.340896
KIMJANG	1	20151024	1147000000	서울특별시	양천구	2612.719693	1349.923077	1262.796616	149.754467	145.591516	133.295391	75.181103	30.981866	101.217538	141.228126	29.663599	78.102878	168.313008	68.877573	66.462033	19.551738	60.27671	81.425531	149.754467	149.330463	59.71137	78.470349	65.986635	89.885059	92.416237	42.794884	101.076203	154.166682	78.899492	7.237625	7.718163	123.800264	61.548723
KIMJANG	1	20151024	1117000000	서울특별시	용산구	2660.463193	1474.592905	1185.870288	150.595521	145.990113	125.291799	119.242324	56.197679	60.511671	147.923344	145.360447	97.472017	126.093192	50.051932	89.757309	31.422148	66.813533	61.869876	150.595521	131.757583	98.465952	51.384118	3.841742	68.18735	160.633747	66.053771	85.060834	74.861288	62.853403	60.147401	13.487079	97.386153	61.154346
KIMJANG	1	20151024	1171000000	서울특별시	송파구	2583.354809	1384.842542	1198.512267	137.082247	137.057868	118.005518	97.088158	18.176731	117.497618	210.211739	113.694461	84.390654	52.088206	107.416816	43.969931	11.655292	51.401525	85.105778	137.082247	133.279091	97.673259	58.703098	4.23995	121.885875	147.727834	75.833553	98.298992	52.344188	5.77584	36.485514	48.012816	87.421803	93.748207
KIMJANG	1	20151024	1156000000	서울특별시	영등포구	2591.598644	1419.83782	1171.760824	129.389609	123.146918	116.39313	103.773889	63.531044	65.533247	186.797218	83.470337	202.397861	88.48396	104.997277	37.24035	15.037624	37.732788	61.912568	129.389609	110.320804	97.032269	79.521095	14.636048	90.990772	161.98465	115.0732	62.62486	23.465055	35.536692	37.203843	36.284679	83.999282	93.697966
KIMJANG	1	20151024	1123000000	서울특별시	동대문구	2537.017079	1371.46023	1165.556849	149.913781	146.844897	127.999356	104.629733	25.674408	117.396098	159.020538	118.793665	124.268669	78.134554	69.259284	55.470918	0.490349	17.044072	76.519908	149.913781	143.675158	110.191185	42.416395	86.865745	160.259618	124.499196	61.075594	56.522695	3.399785	9.941935	42.864001	3.645681	90.221827	80.064253
KIMJANG	1	20151024	1132000000	서울특별시	도봉구	2669.539706	1414.598911	1254.940795	143.762812	134.896136	122.392965	67.019706	5.228248	103.345065	145.852952	62.517792	120.078743	95.94168	105.416855	89.827732	67.414745	69.598575	81.304905	143.762812	140.705837	126.130877	52.372305	58.33075	151.749582	128.959906	22.574286	31.81765	43.799253	67.211913	39.930948	26.424239	117.003417	104.16702
KIMJANG	1	20151024	1130500000	서울특별시	강북구	2632.918135	1275.932789	1356.985346	152.680694	142.109959	139.50959	89.302447	40.41857	39.839001	86.153281	93.939005	160.748508	103.309568	41.777738	62.026772	17.753808	50.635408	55.72844	152.680694	142.956234	119.737546	46.480971	79.244606	72.043582	106.694666	114.588095	171.811621	51.625292	72.889856	59.072506	0.694971	68.653356	97.81135
KIMJANG	1	20151024	1120000000	서울특별시	성동구	2591.477283	1272.179995	1319.297288	148.314058	141.157193	107.5517	93.63137	4.405078	110.074507	180.402437	21.846849	70.492351	82.143062	97.440295	72.156738	11.724348	54.049213	76.790796	148.314058	139.750029	101.423728	31.32276	33.573214	96.2147	184.926545	130.31951	82.143063	38.884123	43.40823	39.988671	67.016303	96.158212	85.854142
KIMJANG	1	20151024	1162000000	서울특별시	관악구	2556.276355	1357.009753	1199.266602	125.653182	123.980265	107.791582	87.201841	78.258173	173.296984	199.111371	119.943819	124.962567	54.558523	28.177918	23.570964	32.780583	34.99398	42.728001	125.653182	118.047846	93.327289	60.306493	5.065934	123.405469	154.689005	126.197952	53.940831	64.621759	16.411739	26.595082	38.442761	103.429131	89.132129
KIMJANG	1	20151024	1159000000	서울특별시	동작구	2577.603001	1327.519275	1250.083726	138.692164	138.692164	121.795979	65.590893	52.550504	44.118779	211.17439	137.827618	107.010133	101.753541	46.57378	46.284956	41.243058	23.307107	50.904209	138.692164	121.218332	118.070154	62.514921	19.407988	97.348981	170.883488	114.967225	74.02647	70.73388	1.399832	66.09826	32.36173	78.992311	83.36799
KIMJANG	1	20151024	1153000000	서울특별시	구로구	2607.97183	1267.170499	1340.801331	137.383824	131.50817	98.742567	85.755123	48.382108	83.868278	152.770761	93.741305	118.688754	97.096527	27.937185	55.276637	26.70105	34.656194	74.662016	137.383824	125.006421	112.661125	75.930258	8.890004	89.021516	118.126876	175.358318	173.576357	23.715062	43.525328	24.581961	33.243468	115.19761	84.583203
KIMJANG	1	20151024	1126000000	서울특별시	중랑구	2470.705623	1422.535705	1048.169918	147.590316	144.00197	121.074503	64.506285	5.212304	124.36497	199.168202	125.986628	75.853283	139.718955	41.246437	111.840261	15.161916	11.923203	94.886472	147.590316	135.082857	110.516483	23.373709	14.713372	94.847369	64.1394	138.235312	0.377237	35.881168	17.232116	13.212477	67.197545	90.642562	95.127995
