EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
LAMP	1	20151024	1138000000	서울특별시	은평구	2825.747486	1400.821866	1424.92562	177.052282	172.181876	154.010297	115.680943	13.037932	77.413216	181.936774	91.844831	77.635079	68.908495	78.105216	111.347585	8.915872	45.197402	27.554066	177.052282	172.599189	150.492195	113.309129	113.391887	141.8695	78.226712	39.23177	53.483783	62.352992	59.548018	48.972582	38.589074	94.593458	81.213049
LAMP	1	20151024	1141000000	서울특별시	서대문구	2794.919492	1257.441148	1537.478344	172.170546	166.089422	140.525646	103.773754	27.272639	147.120158	94.568874	78.948167	60.272487	40.167313	56.756388	60.462703	7.029509	68.560877	33.722665	172.170546	166.187412	132.721057	78.959311	105.318917	190.886959	74.296539	89.381185	103.480169	78.527387	93.969407	39.994389	34.495055	92.038049	85.051962
LAMP	1	20151024	2800000000	인천광역시		2582.911974	1284.232385	1298.679589	143.383195	140.828729	127.062713	87.320433	16.725148	217.33358	166.404844	64.84347	72.838096	46.756441	29.728337	26.516433	4.373039	65.183395	74.934532	143.307916	139.910325	126.590965	74.844197	109.082413	237.116894	101.00247	13.13685	7.73182	43.514426	0.796117	33.204887	73.027465	103.635896	91.776948
LAMP	1	20151024	1114000000	서울특별시	중구	2618.886843	1696.816353	922.07049	160.859851	156.931981	150.509382	119.829531	58.90036	32.478652	93.844252	84.932821	157.167889	171.387251	186.744869	182.775715	92.004168	15.192483	33.257148	160.859851	154.336992	129.991273	103.876244	24.363412	18.772389	12.102087	7.018266	5.602818	10.149947	53.144203	20.176043	70.624994	77.613772	73.438199
LAMP	1	20151024	1135000000	서울특별시	노원구	2759.369558	1502.030641	1257.338917	155.634063	153.422752	146.37685	100.848085	67.762838	195.255499	152.743809	58.251173	85.332156	74.566405	76.402096	100.720456	11.504672	60.335662	62.874125	155.634063	154.440561	127.892717	83.920956	52.713809	175.989834	77.238153	14.758024	73.166918	30.200849	33.375443	2.102058	68.902218	118.156891	88.846423
LAMP	1	20151024	1144000000	서울특별시	마포구	2809.639596	1530.865514	1278.774082	167.830971	164.698912	159.404553	140.343549	63.785017	121.537215	177.822545	110.339122	73.350682	83.297264	63.712065	126.215647	10.991255	39.698303	27.838414	166.703954	157.825419	130.285577	101.454907	19.293179	121.098204	117.002939	83.886983	67.080013	28.10619	57.900066	7.203955	22.026413	93.447844	105.458439
LAMP	1	20151024	1168000000	서울특별시	강남구	2755.683773	1520.432716	1235.251057	169.688689	168.630612	154.316628	124.198038	30.927564	137.865641	207.499076	102.889213	88.541957	108.086433	87.889809	73.149933	28.624195	33.296592	4.828336	169.688689	165.835692	149.844756	115.174439	25.316874	80.509888	97.252791	78.79301	64.146299	9.598776	30.88675	20.998057	35.619037	105.625129	85.96087
LAMP	1	20151024	1123000000	서울특별시	동대문구	2684.072623	1351.498497	1332.574126	172.097863	169.750769	157.705303	121.044871	13.307336	128.802582	189.782752	91.603352	62.906803	69.497857	62.958468	35.206661	6.015598	23.817595	47.000687	172.097863	168.186039	144.043443	111.117695	141.888741	151.055695	98.917725	21.736701	45.229787	11.115731	1.188555	15.477783	46.336415	100.452439	103.729514
LAMP	1	20151024	1130500000	서울특별시	강북구	2726.910259	1380.222205	1346.688054	179.050124	173.487645	159.672636	122.659352	7.821818	128.49114	137.865287	79.322472	100.487249	88.505123	48.054044	63.419253	2.956625	61.216755	27.212682	179.050124	173.533239	161.560231	83.822305	101.298825	185.100764	103.715311	29.086902	77.817868	34.093133	15.326606	20.07751	7.010244	67.299007	107.895985
LAMP	1	20151024	1150000000	서울특별시	강서구	2708.818729	1432.775319	1276.04341	165.052596	159.372957	153.309671	111.075173	3.768634	145.976459	192.147505	85.435341	98.070661	70.306317	41.783018	21.383021	73.600674	55.38802	56.105272	165.052596	158.280398	149.122918	93.894473	57.020465	171.680787	131.18104	61.807708	29.214419	12.083759	5.486704	7.765788	30.325882	114.010904	89.115569
LAMP	1	20151024	1171000000	서울특별시	송파구	2701.135059	1495.157361	1205.977698	166.338763	162.29155	146.683276	129.39217	31.099591	188.091058	201.722004	91.68157	35.668481	68.618347	82.518546	87.701672	12.924997	33.731541	56.693795	166.338763	160.810657	140.566179	87.969241	47.322098	121.097488	88.627229	30.115133	49.131144	18.335305	1.750987	4.384622	73.093	99.277877	117.157975
LAMP	1	20151024	1120000000	서울특별시	성동구	2748.847326	1404.420789	1344.426537	175.149998	165.238393	132.430791	93.355832	4.882106	107.883485	201.893845	37.968257	49.191417	97.334839	125.889256	116.380486	22.548122	54.721181	19.552781	175.149998	166.456265	130.369777	62.712296	63.590413	117.20489	127.613014	47.327136	51.570952	35.776088	45.097493	37.25627	78.703894	103.0426	102.555451
LAMP	1	20151024	1132000000	서울특별시	도봉구	2695.499796	1392.750587	1302.749209	155.328964	151.102944	142.873776	99.824944	24.144035	172.911952	190.836107	36.899244	67.724334	82.048228	60.849551	51.043125	68.358665	55.738894	33.065824	155.328964	153.091659	137.319088	76.757559	79.870928	202.716968	104.712727	36.066041	13.591841	8.260026	34.901956	24.221183	45.949614	125.678245	104.28241
LAMP	1	20151024	1126000000	서울특별시	중랑구	2719.202332	1485.168081	1234.034251	159.614078	159.056223	144.012127	93.90413	44.488955	150.958324	194.794948	59.596034	47.59315	119.988361	69.160552	71.616915	66.173327	30.98346	73.227497	159.614078	155.403171	135.797259	40.817907	121.320015	164.184892	63.501021	74.955048	7.607526	4.098437	12.646218	7.535544	76.961527	111.62953	97.962078
LAMP	1	20151024	1117000000	서울특별시	용산구	2858.646618	1569.323958	1289.32266	183.940918	180.419548	148.496654	137.293249	35.100162	114.788622	166.320096	92.675256	86.062208	117.628773	103.77386	73.150518	20.099406	70.879794	38.694894	183.940918	167.853708	142.606744	86.715478	6.852348	73.506849	119.368498	8.445349	33.032056	66.925241	56.895624	139.522052	61.468515	83.057865	59.131415
LAMP	1	20151024	1165000000	서울특별시	서초구	2771.02494	1400.951733	1370.073207	179.21031	172.655517	157.323269	146.570115	21.030905	110.867588	172.227448	67.64917	99.219194	123.328897	70.087924	32.621673	8.192977	24.889692	15.077054	179.21031	175.763127	154.884516	131.44367	57.2253	90.349129	111.268902	87.786895	93.713992	32.961246	56.041939	2.045672	33.461344	77.719062	86.198103
LAMP	1	20151024	1147000000	서울특별시	양천구	2741.682921	1502.324352	1239.358569	167.426094	165.516004	156.086191	108.816489	50.032631	207.534633	146.50223	49.379179	35.646636	117.147163	74.099765	81.096726	15.463352	44.868685	82.708574	167.426094	167.355722	114.828246	108.524949	75.255872	143.787892	57.381451	0.20944	40.371596	83.016869	54.908386	5.731945	11.019879	143.962146	65.578082
LAMP	1	20151024	1156000000	서울특별시	영등포구	2696.585047	1533.017998	1163.567049	146.44826	140.56279	139.151762	126.805271	26.928656	119.270507	224.36421	85.442979	160.682309	59.292554	127.142555	56.182723	22.605837	55.474115	42.66347	146.44826	139.950106	123.500496	85.588413	19.38461	115.08384	110.516568	60.285843	44.068309	3.321794	3.315605	45.200845	50.563368	107.747116	108.591876
LAMP	1	20151024	1162000000	서울특별시	관악구	2587.805531	1438.732938	1149.072593	137.432902	133.685398	128.206163	97.612239	61.419966	209.976266	238.398654	133.890029	94.454196	33.348812	56.117875	53.332444	3.466517	38.385189	19.006288	137.432902	133.309732	121.719042	63.023422	3.176368	110.452098	118.00208	87.435645	52.846826	34.439162	47.602765	9.797875	49.16957	97.557264	83.107842
LAMP	1	20151024	1121500000	서울특별시	광진구	2724.212252	1431.976508	1292.235744	146.570084	145.914851	133.326428	126.972649	22.860034	157.239799	189.485224	60.235473	48.480983	80.85547	82.751676	99.112654	54.000828	21.827545	62.34281	146.570084	140.027678	122.157676	95.829208	37.371799	187.122414	125.619823	60.712007	31.722893	39.565838	4.652488	25.259909	70.146044	106.521425	98.956458
LAMP	1	20151024	1159000000	서울특별시	동작구	2660.046313	1515.391863	1144.65445	148.16446	147.810432	140.386243	96.830306	39.269413	147.24121	231.843643	129.487714	78.413875	104.934785	78.205622	75.904436	16.476216	62.02096	18.402548	148.16446	141.188013	121.143744	104.119132	2.866938	111.369777	157.07071	64.585932	31.036512	0.940605	30.47076	31.921583	44.454892	77.743997	77.577395
LAMP	1	20151024	1153000000	서울특별시	구로구	2885.883818	1486.764597	1399.119221	157.287839	153.248484	131.05552	98.50584	50.209722	127.357476	146.661831	82.83064	132.019172	119.85414	76.3254	68.117527	54.308571	36.424251	52.558184	157.287839	150.700403	135.68199	112.361764	38.139412	102.440297	96.31081	96.933153	130.774489	21.500559	44.03405	6.540075	69.020901	119.184045	118.209434
